"name","url","license","usedIn","since"
"@babel/plugin-transform-modules-amd","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-modules-commonjs","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-modules-systemjs","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-modules-umd","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-named-capturing-groups-regex","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-new-target","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-object-super","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-parameters","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-property-literals","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-react-display-name","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-react-jsx-development","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-react-jsx-self","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-react-jsx-source","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-react-jsx","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-react-pure-annotations","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-regenerator","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-reserved-words","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-runtime","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-shorthand-properties","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-spread","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-sticky-regex","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-template-literals","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-typeof-symbol","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-typescript","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-unicode-escapes","https://github.com/babel/babel","MIT","",""
"@babel/plugin-transform-unicode-regex","https://github.com/babel/babel","MIT","",""
"@babel/preset-env","https://github.com/babel/babel","MIT","",""
"@babel/preset-modules",,"MIT","",""
"@babel/preset-react","https://github.com/babel/babel","MIT","",""
